image,expected,predicted,distance,result
Achraf_Hakimi_1.jpg,Achraf_Hakimi,Achraf_Hakimi,0.2741999924182892,Correct Recognition
Achraf_Hakimi_2.jpg,Achraf_Hakimi,Achraf_Hakimi,0.24199999868869781,Correct Recognition
Aitana_Bonmati_1.jpg,Aitana_Bonmati,Aitana_Bonmati,0.29010000824928284,Correct Recognition
Aitana_Bonmati_2.jpg,Aitana_Bonmati,Aitana_Bonmati,0.18809999525547028,Correct Recognition
Alexia_Putellas_1.jpg,Alexia_Putellas,Alexia_Putellas,0.3197000026702881,Correct Recognition
Alexia_Putellas_2.jpg,Alexia_Putellas,Alexia_Putellas,0.3774999976158142,Correct Recognition
Cristiano_ronaldo_1.jpg,Cristiano_ronaldo,Cristiano_ronaldo,0.2442999929189682,Correct Recognition
Cristiano_ronaldo_2.jpg,Cristiano_ronaldo,Cristiano_ronaldo,0.20250000059604645,Correct Recognition
Haaland_1.jpg,Haaland,Haaland,0.188400000333786,Correct Recognition
Haaland_2.jpg,Haaland,Haaland,0.24869999289512634,Correct Recognition
Karim_Benzema_1.jpg,Karim_Benzema,Karim_Benzema,0.20880000293254852,Correct Recognition
Karim_Benzema_2.jpg,Karim_Benzema,Karim_Benzema,0.25760000944137573,Correct Recognition
Lionel_messi_1.jpg,Lionel_messi,Lionel_messi,0.226500004529953,Correct Recognition
Lionel_messi_2.jpg,Lionel_messi,Lionel_messi,0.25999999046325684,Correct Recognition
Luka_Modric_1.jpg,Luka_Modric,Luka_Modric,0.1678999960422516,Correct Recognition
Luka_Modric_2.jpg,Luka_Modric,Luka_Modric,0.18719999492168427,Correct Recognition
Mbappe_1.jpg,Mbappe,Mbappe,0.2345999926328659,Correct Recognition
Mbappe_2.jpg,Mbappe,Mbappe,0.16130000352859497,Correct Recognition
Neymar_1.jpg,Neymar,Neymar,0.26420000195503235,Correct Recognition
Neymar_2.jpg,Neymar,Neymar,0.2224999964237213,Correct Recognition
pep_guardiola_1.jpg,pep_guardiola,pep_guardiola,0.0,Correct Recognition
pep_guardiola_2.jpg,pep_guardiola,2 faces detected,,Skipped
Salma_Paralluelo_1.jpg,Salma_Paralluelo,Salma_Paralluelo,0.373199999332428,Correct Recognition
Salma_Paralluelo_2.jpg,Salma_Paralluelo,Salma_Paralluelo,0.21080000698566437,Correct Recognition
Unknown_1.jpg,Unknown,Unknown,0.8355000019073486,Correct Unknown
Unknown_10.jpg,Unknown,Unknown,0.8396999835968018,Correct Unknown
Unknown_11.jpg,Unknown,Unknown,0.845300018787384,Correct Unknown
Unknown_12.jpg,Unknown,Unknown,0.8210999965667725,Correct Unknown
Unknown_13.jpg,Unknown,Unknown,0.8641999959945679,Correct Unknown
Unknown_14.jpg,Unknown,Unknown,0.8640000224113464,Correct Unknown
Unknown_15.jpg,Unknown,Unknown,0.8805999755859375,Correct Unknown
Unknown_16.jpg,Unknown,Unknown,0.8647000193595886,Correct Unknown
Unknown_2.jpg,Unknown,Unknown,0.8464999794960022,Correct Unknown
Unknown_3.jpg,Unknown,Unknown,0.8396999835968018,Correct Unknown
Unknown_4.jpg,Unknown,Unknown,0.8529000282287598,Correct Unknown
Unknown_5.jpg,Unknown,Unknown,0.9000999927520752,Correct Unknown
Unknown_6.jpg,Unknown,Unknown,0.8687999844551086,Correct Unknown
Unknown_7.jpg,Unknown,Unknown,0.8335999846458435,Correct Unknown
Unknown_8.jpg,Unknown,Unknown,0.8666999936103821,Correct Unknown
Unknown_9.jpg,Unknown,Unknown,0.8377000093460083,Correct Unknown
Vinicius_1.jpg,Vinicius,Vinicius,0.2409999966621399,Correct Recognition
Vinicius_2.jpg,Vinicius,Vinicius,0.26460000872612,Correct Recognition
zlatan_1.jpg,zlatan,zlatan,0.2289000004529953,Correct Recognition
zlatan_2.jpg,zlatan,zlatan,0.30880001187324524,Correct Recognition
